variable;code;factors;frequency;seas_adj;deflate;source;transformation_id
abate_bovinos;ABATE12_ABQUBV12;['Global', 'Output'];Monthly;0;N/A;ipeadata;3
abate_frangos;ABATE12_ABQUFR12;['Global', 'Output'];Monthly;0;N/A;ipeadata;3
abate_suinos;ABATE12_ABQUSU12;['Global', 'Output'];Monthly;0;N/A;ipeadata;3
abate_vacas;ABATE12_ABQUVA12;['Global', 'Output'];Monthly;0;N/A;ipeadata;3
abate_novilhos;ABATE12_ABQUNO12;['Global', 'Output'];Monthly;0;N/A;ipeadata;3
geracao_energ_hidraulica;ONS12_HIDR12;['Global', 'Output'];Monthly;0;N/A;ipeadata;3
geracao_energ_termica;ONS12_CONV12;['Global', 'Output'];Monthly;0;N/A;ipeadata;3
geracao_energ_termonuclear;ONS12_NUCL12;['Global', 'Output'];Monthly;0;N/A;ipeadata;13
geracao_energ_eolica;ONS12_EOL12;['Global', 'Output'];Monthly;0;N/A;ipeadata;13
geracao_energ_solar;ONS12_SOL12;['Global', 'Output'];Monthly;0;N/A;ipeadata;13
papelao_expedicao;ABPO12_PAPEL12;['Global', 'Output'];Monthly;0;N/A;ipeadata;3
prod_fertilizante;ANDA12_PFERTILIZ12;['Global', 'Output'];Monthly;0;N/A;ipeadata;3
icc_fgv;FGV12_ICSTCA12;['Global', 'Sentiment'];Monthly;1;N/A;ipeadata;3
icc_fgv_sit_atual;FGV12_ISACSTCA12;['Global', 'Sentiment'];Monthly;1;N/A;ipeadata;3
icc_fgv_expectativas;FGV12_IECSTCA12;['Global', 'Sentiment'];Monthly;1;N/A;ipeadata;3
pib;;['Global', 'Output'];Quarterly;1;1;sidra;14
inadimplencia_livres_total;21085;['Global', 'Credit'];Monthly;0;N/A;sgs;1
inadimplencia_livres_PJ_total;21086;['Global', 'Credit'];Monthly;0;N/A;sgs;1
inadimplencia_livres_PJ_desconto_de_duplicatas_e_recebiveis;21087;['Global', 'Credit'];Monthly;0;N/A;sgs;1
inadimplencia_livres_PJ_capital_de_giro_total;21093;['Global', 'Credit'];Monthly;0;N/A;sgs;1
inadimplencia_livres_PJ_aquisicao_de_bens_total;21098;['Global', 'Credit'];Monthly;0;N/A;sgs;1
inadimplencia_livres_PJ_arrendamento_mercantil_total;21101;['Global', 'Credit'];Monthly;0;N/A;sgs;1
inadimplencia_livres_PJ_cartao_de_credito_total;21106;['Global', 'Credit'];Monthly;0;N/A;sgs;1
inadimplencia_livres_PF_total;21112;['Global', 'Credit'];Monthly;0;N/A;sgs;1
inadimplencia_livres_PF_cheque_especial;21113;['Global', 'Credit'];Monthly;0;N/A;sgs;1
inadimplencia_livres_PF_credito_pessoal_nao_consignado_total;21114;['Global', 'Credit'];Monthly;0;N/A;sgs;1
inadimplencia_livres_PF_credito_pessoal_consignado_total;21119;['Global', 'Credit'];Monthly;0;N/A;sgs;1
inadimplencia_livres_PF_aquisicao_de_bens_total;21123;['Global', 'Credit'];Monthly;0;N/A;sgs;1
inadimplencia_livres_PF_arrendamento_mercantil_total;21126;['Global', 'Credit'];Monthly;0;N/A;sgs;1
inadimplencia_livres_PF_cartao_de_credito_total;21129;['Global', 'Credit'];Monthly;0;N/A;sgs;1
concessoes_livres_total;20634;['Global','Credit'];Monthly;0;0;sgs;3
concessoes_livres_PJ_desconto_de_duplicatas_e_recebveis;20636;['Global','Credit'];Monthly;0;N/A;sgs;3
concessoes_livres_PJ_capital_de_giro_total;20642;['Global','Credit'];Monthly;0;0;sgs;3
concessoes_livres_PJ_aquisicao_de_bens_total;20647;['Global','Credit'];Monthly;0;0;sgs;3
concessoes_livres_PJ_arrendamento_mercantil_total;20650;['Global','Credit'];Monthly;0;0;sgs;3
concessoes_livres_PJ_cartao_de_credito_total;20656;['Global','Credit'];Monthly;0;0;sgs;3
concessoes_livres_PF_cheque_especial;20665;['Global','Credit'];Monthly;0;0;sgs;3
concessoes_livres_PF_credito_pessoal_nao_consignado_total;20666;['Global','Credit'];Monthly;0;0;sgs;3
concessoes_livres_PF_credito_pessoal_consignado_total;20671;['Global','Credit'];Monthly;0;0;sgs;3
concessoes_livres_PF_aquisicao_de_bens_total;20675;['Global','Credit'];Monthly;0;0;sgs;3
concessoes_livres_PF_arrendamento_mercantil_total;20678;['Global','Credit'];Monthly;0;0;sgs;3
concessoes_livres_PF_cartao_de_credito_total;20682;['Global','Credit'];Monthly;0;0;sgs;3
