,0
loading.Global.1->vendas_total_autoveiculos,-0.10913461374617658
loading.Global.2->vendas_total_autoveiculos,-0.0021168685553945156
loading.Output->vendas_total_autoveiculos,0.170137138623991
loading.Global.1->vendas_autoveiculos_interno,-0.11475457947275189
loading.Global.2->vendas_autoveiculos_interno,0.015992949765524296
loading.Output->vendas_autoveiculos_interno,0.11956184384479839
loading.Global.1->vendas_autoveiculos_externo,-0.01515525159689204
loading.Global.2->vendas_autoveiculos_externo,-0.04611281597104115
loading.Output->vendas_autoveiculos_externo,0.1422685385152892
loading.Global.1->prod_automoveis_e_comerciais_leves,-0.0041012560922361685
loading.Global.2->prod_automoveis_e_comerciais_leves,-2.4645704891522886e-05
loading.Output->prod_automoveis_e_comerciais_leves,0.031112896151385454
loading.Global.1->prod_caminhoes,-0.1132334355390505
loading.Global.2->prod_caminhoes,-0.09465001522536227
loading.Output->prod_caminhoes,0.03227848638169518
loading.Global.1->prod_onibus,-0.09183170998904946
loading.Global.2->prod_onibus,-0.022937660319253976
loading.Output->prod_onibus,0.07652529010645466
loading.Global.1->prod_oleo_bruto,0.028741485419230304
loading.Global.2->prod_oleo_bruto,0.08974318763961607
loading.Output->prod_oleo_bruto,0.05971403342910315
loading.Global.1->prod_LGN,-0.0059827219690386235
loading.Global.2->prod_LGN,0.04708909791958147
loading.Output->prod_LGN,0.11802185286323734
loading.Global.1->prod_gas_natural,0.003498944685786551
loading.Global.2->prod_gas_natural,0.0197949801289648
loading.Output->prod_gas_natural,0.06553262784330822
loading.Global.1->consumo_gasolina,-0.06213248289711781
loading.Global.2->consumo_gasolina,0.055504876361177645
loading.Output->consumo_gasolina,-0.0049571767520891485
loading.Global.1->consumo_GLP,-0.034883286605650536
loading.Global.2->consumo_GLP,0.0025079656145299473
loading.Output->consumo_GLP,0.06052113321453621
loading.Global.1->consumo_oleo_combustivel,-0.032052441725117405
loading.Global.2->consumo_oleo_combustivel,-0.025612267754991126
loading.Output->consumo_oleo_combustivel,-0.004027279834115183
loading.Global.1->consumo_diesel,-0.11542339250237332
loading.Global.2->consumo_diesel,-0.034528309386430894
loading.Output->consumo_diesel,-0.005139163992374396
loading.Global.1->consumo_demais_derivados,-0.09556292452960173
loading.Global.2->consumo_demais_derivados,0.029715964333430805
loading.Output->consumo_demais_derivados,-0.1007500356982959
loading.Global.1->consumo_alcool_hidratado,-0.027441552684249273
loading.Global.2->consumo_alcool_hidratado,-0.005139069781189731
loading.Output->consumo_alcool_hidratado,-0.006356618937737363
loading.Global.1->consumo_alcool_anidro,-0.04329212267303596
loading.Global.2->consumo_alcool_anidro,0.004821607885903342
loading.Output->consumo_alcool_anidro,-0.005516932829868139
loading.Global.1->prod_aco_bruto,-0.08183744338212967
loading.Global.2->prod_aco_bruto,-0.10059119770092644
loading.Output->prod_aco_bruto,0.06799995971967379
loading.Global.1->desembolso_BNDES_ind_transformacao,-0.006434909675953785
loading.Global.2->desembolso_BNDES_ind_transformacao,0.00799784070497234
loading.Output->desembolso_BNDES_ind_transformacao,0.03331485005661511
loading.Global.1->desembolso_BNDES_comercio_servicos,0.006061650755201631
loading.Global.2->desembolso_BNDES_comercio_servicos,0.020685263867448636
loading.Output->desembolso_BNDES_comercio_servicos,0.03421570016026203
loading.Global.1->desembolso_BNDES_agro,-0.059075090598480005
loading.Global.2->desembolso_BNDES_agro,-0.0076882704656929535
loading.Output->desembolso_BNDES_agro,0.059256026544922916
loading.Global.1->desembolso_BNDES_ind_extrativa,0.010350719634749712
loading.Global.2->desembolso_BNDES_ind_extrativa,-0.016112090764639774
loading.Output->desembolso_BNDES_ind_extrativa,0.021345153330231608
loading.Global.1->cni_nuci_transformacao,-0.12110894580343642
loading.Global.2->cni_nuci_transformacao,-0.10757460715423521
loading.Output->cni_nuci_transformacao,0.022911659392928215
loading.Global.1->cni_vendas_industriais,-0.14017070730223274
loading.Global.2->cni_vendas_industriais,-0.05322260037930171
loading.Output->cni_vendas_industriais,0.057973428550424616
loading.Global.1->cni_horas_trabalhadas,-0.15650190901686875
loading.Global.2->cni_horas_trabalhadas,-0.04732407414200861
loading.Employment->cni_horas_trabalhadas,-0.025144889565360692
loading.Global.1->cni_salario_industria,-0.13082344397057868
loading.Global.2->cni_salario_industria,0.0713884340780227
loading.Employment->cni_salario_industria,-0.023168509168080338
loading.Global.1->cni_massa_salarial,-0.13077836187810749
loading.Global.2->cni_massa_salarial,0.07155661970090112
loading.Employment->cni_massa_salarial,-0.023337174999325836
loading.Global.1->fenabrave_automoveis,-0.10957964290617664
loading.Global.2->fenabrave_automoveis,0.03257202109884323
loading.Output->fenabrave_automoveis,0.09090954851996595
loading.Global.1->fenabrave_comerciais_leves,-0.1350862540130868
loading.Global.2->fenabrave_comerciais_leves,-0.0025564497519296875
loading.Output->fenabrave_comerciais_leves,0.08059938069207533
loading.Global.1->fenabrave_caminhoes,-0.12850531747889382
loading.Global.2->fenabrave_caminhoes,-0.07108020545180194
loading.Output->fenabrave_caminhoes,-0.030248241403428525
loading.Global.1->fenabrave_onibus,-0.10868937139319569
loading.Global.2->fenabrave_onibus,-0.0038111520791442614
loading.Output->fenabrave_onibus,0.004641112725001294
loading.Global.1->fgv_nuci,-0.12954785913531786
loading.Global.2->fgv_nuci,-0.0866640999848719
