variable;frequency;tid_mensal;pipeline_mensal;votos_mensal;cv_var_mensal;iqr_mensal;steps_mensal;nobs_mensal;tid_anual;pipeline_anual;votos_anual;cv_var_anual;iqr_anual;steps_anual;nobs_anual
ipca_artigos_resid;Monthly;1.0;diff;4.0;0.5869741994937431;0.7867938581630269;1.0;365.0;9;sdiff12→diff;4;0.3962106972245744;0.5454890388039264;2;353
ipca_comercializaveis;Monthly;6.0;yeojohnson;4.0;0.5718741982415437;1.014697631941545;1.0;366.0;8;sdiff12;4;0.8891670066944598;0.875567288712662;1;354
ipca_comunicacao;Monthly;7.0;yeojohnson→diff;4.0;0.8352815742885499;1.6664386195065097;2.0;322.0;8;sdiff12;4;1.0066321239251173;2.295055411030668;1;311
ipca_despesas_pess;Monthly;13.0;mom_pct;4.0;1.2805942082427648;2.9321007440179208;1.0;365.0;14;mom_pct_annual_rate;4;1.2805942082427648;2.9321007440179208;1;365
ipca_difusao;Monthly;1.0;diff;4.0;0.42625406885768363;0.5839008094509163;1.0;365.0;9;sdiff12→diff;4;0.35025492668836716;0.5623817130026423;2;353
ipca_duraveis;Monthly;6.0;yeojohnson;4.0;0.9583532571838055;1.6851992354333185;1.0;366.0;8;sdiff12;4;0.9908420309022457;1.1668385970561057;1;354
ipca_educacao;Monthly;13.0;mom_pct;4.0;1.4843505786527431;3.1541877403291276;1.0;322.0;15;yoy_pct_monthly;4;1.1836681893380776;2.162585052593223;1;311
ipca_habitacao;Monthly;1.0;diff;4.0;1.1389166843337981;2.128767205172316;1.0;365.0;9;sdiff12→diff;4;1.0358472071058502;2.730212616805345;2;353
ipca_industriais;Monthly;6.0;yeojohnson;4.0;0.6824195676358498;1.3987713916502276;1.0;366.0;8;sdiff12;4;0.6561979577932242;0.9895428069704285;1;354
ipca_industriais_subjacentes;Monthly;0.0;nível;4.0;0.969075992241569;2.220429375821118;0.0;366.0;8;sdiff12;4;0.8822969081445593;1.5737465408977929;1;354
ipca_livres;Monthly;0.0;nível;4.0;0.9128661877659555;1.0508908252056843;0.0;366.0;8;sdiff12;4;0.8492116959195086;0.8009471598111849;1;354
ipca_nao_comercializaveis;Monthly;1.0;diff;4.0;0.4347699532461957;0.509798863798102;1.0;365.0;15;yoy_pct_monthly;4;2.42379078674744;9.436700497305806;1;354
ipca_nao_duraveis;Monthly;6.0;yeojohnson;4.0;0.41580290086741145;0.6084025190112816;1.0;366.0;8;sdiff12;4;0.6265561409551006;0.7973971555979144;1;354
ipca_saude;Monthly;13.0;mom_pct;4.0;2.4483469689287;6.3907708247282615;1.0;365.0;15;yoy_pct_monthly;4;2.065442132343124;9.145158335461222;1;354
ipca_semi_duraveis;Monthly;6.0;yeojohnson;4.0;0.9584513367675657;1.2338026254517935;1.0;366.0;8;sdiff12;4;0.8580386658114898;1.1050277996261073;1;354
ipca_servicos;Monthly;13.0;mom_pct;4.0;2.9843495231444015;8.397904852239767;1.0;365.0;14;mom_pct_annual_rate;4;2.9843495231444015;8.397904852239767;1;365
ipca_servicos_subjacentes;Monthly;1.0;diff;4.0;0.440599993517791;0.5365709755217469;1.0;365.0;14;mom_pct_annual_rate;4;2.8485917073452405;33.72330499772108;1;365
